Instance-Type , Memory , CPUs , Physical Processor , Network Performance , Linux On Demand cost , Linux Reserved cost
m4.large , 8.0 GiB , 2 vCPUs , Intel Xeon E5-2676 v3 (Haswell) , Moderate , $73.00 monthly , $45.26 monthly
m4.xlarge , 16.0 GiB , 4 vCPUs , Intel Xeon E5-2676 v3 (Haswell) , High , $146.00 monthly , $90.447000 monthly
m5.12xlarge , 192.0 GiB , 48 vCPUs , Intel Xeon Platinum 8175 , 10 Gigabit , $1681.92 monthly , $1074.56 monthly
m5.16xlarge , 256.0 GiB , 64 vCPUs , Intel Xeon Platinum 8175 , 20 Gigabit , $2242.56 monthly , $1432.99 monthly
m5.24xlarge , 384.0 GiB , 96 vCPUs , Intel Xeon Platinum 8175 , 25 Gigabit , $3363.84 monthly , $2149.12 monthly
m5.2xlarge , 32.0 GiB , 8 vCPUs , Intel Xeon Platinum 8175 , Up to 10 Gigabit , $280.32 monthly , $178.85 monthly
m5.4xlarge , 64.0 GiB , 16 vCPUs , Intel Xeon Platinum 8175 , Up to 10 Gigabit , $560.64 monthly , $358.43 monthly
m5.8xlarge , 128.0 GiB , 32 vCPUs , Intel Xeon Platinum 8175 , 10 Gigabit , $1121.28 monthly , $716.13 monthly
m5.large , 8.0 GiB , 2 vCPUs , Intel Xeon Platinum 8175 , Up to 10 Gigabit , $70.08 monthly , $44.53 monthly
m5.metal , 384.0 GiB , 96 vCPUs , Intel Xeon Platinum 8175 , 25 Gigabit , $3363.84 monthly , $2149.12 monthly
m5.xlarge , 16.0 GiB , 4 vCPUs , Intel Xeon Platinum 8175 , Up to 10 Gigabit , $140.16 monthly , $89.79 monthly
m5a.12xlarge , 192.0 GiB , 48 vCPUs , AMD EPYC 7571 , 10 Gigabit , $1506.72 monthly , $958.49 monthly
m5a.16xlarge , 256.0 GiB , 64 vCPUs , AMD EPYC 7571 , 12 Gigabit , $2008.96 monthly , $1278.23 monthly
m5a.24xlarge , 384.0 GiB , 96 vCPUs , AMD EPYC 7571 , 20 Gigabit , $3013.44 monthly , $1917.71 monthly
m5a.2xlarge , 32.0 GiB , 8 vCPUs , AMD EPYC 7571 , Up to 10 Gigabit , $251.12 monthly , $159.87 monthly
m5a.4xlarge , 64.0 GiB , 16 vCPUs , AMD EPYC 7571 , Up to 10 Gigabit , $502.24 monthly , $319.74 monthly
m5a.8xlarge , 128.0 GiB , 32 vCPUs , AMD EPYC 7571 , Up to 10 Gigabit , $1004.48 monthly , $639.48 monthly
m5a.large , 8.0 GiB , 2 vCPUs , AMD EPYC 7571 , Up to 10 Gigabit , $62.78 monthly , $40.15 monthly
m5a.xlarge , 16.0 GiB , 4 vCPUs , AMD EPYC 7571 , Up to 10 Gigabit , $125.56 monthly , $79.57 monthly
m5ad.12xlarge , 192.0 GiB , 48 vCPUs , AMD EPYC 7571 , 10 Gigabit , $1804.56 monthly , $1154.13 monthly
m5ad.24xlarge , 384.0 GiB , 96 vCPUs , AMD EPYC 7571 , 20 Gigabit , $3609.12 monthly , $2307.53 monthly
m5ad.2xlarge , 32.0 GiB , 8 vCPUs , AMD EPYC 7571 , Up to 10 Gigabit , $300.76 monthly , $191.99 monthly
m5ad.4xlarge , 64.0 GiB , 16 vCPUs , AMD EPYC 7571 , Up to 10 Gigabit , $601.52 monthly , $384.71 monthly
m5ad.large , 8.0 GiB , 2 vCPUs , AMD EPYC 7571 , Up to 10 Gigabit , $75.19 monthly , $48.18 monthly
m5ad.xlarge , 16.0 GiB , 4 vCPUs , AMD EPYC 7571 , Up to 10 Gigabit , $150.38 monthly , $96.36 monthly
m5d.12xlarge , 192.0 GiB , 48 vCPUs , Intel Xeon Platinum 8175 , 10 Gigabit , $1979.76 monthly , $1260.71 monthly
m5d.16xlarge , 256.0 GiB , 64 vCPUs , Intel Xeon Platinum 8175 , 20 Gigabit , $2639.68 monthly , $1680.46 monthly
m5d.24xlarge , 384.0 GiB , 96 vCPUs , Intel Xeon Platinum 8175 , 25 Gigabit , $3959.52 monthly , $2521.42 monthly
m5d.2xlarge , 32.0 GiB , 8 vCPUs , Intel Xeon Platinum 8175 , Up to 10 Gigabit , $329.96 monthly , $210.24 monthly
m5d.4xlarge , 64.0 GiB , 16 vCPUs , Intel Xeon Platinum 8175 , Up to 10 Gigabit , $659.92 monthly , $420.48 monthly
