Instance-Type , Memory , CPUs , Physical Processor , Network Performance , Linux On Demand cost , Linux Reserved cost
t3a.large , 8.0 GiB , 2 vCPUs for a 7h 12m burst , AMD EPYC 7571 , Low to Moderate , $54.896000 monthly , $34.38 monthly
t3a.medium , 4.0 GiB , 2 vCPUs for a 4h 48m burst , AMD EPYC 7571 , Low to Moderate , $27.448000 monthly , $17.228000 monthly
t3a.micro , 1.0 GiB , 2 vCPUs for a 2h 24m burst , AMD EPYC 7571 , Low to Moderate , $6.86 monthly , $4.307000 monthly
t3a.nano , 0.5 GiB , 2 vCPUs for a 1h 12m burst , AMD EPYC 7571 , Low , $3.431000 monthly , $2.117000 monthly
t3a.small , 2.0 GiB , 2 vCPUs for a 4h 48m burst , AMD EPYC 7571 , Low to Moderate , $13.724000 monthly , $8.614000 monthly
t3a.xlarge , 16.0 GiB , 4 vCPUs for a 9h 36m burst , AMD EPYC 7571 , Moderate , $109.79 monthly , $68.83 monthly
u-12tb1.metal , 12288.0 GiB , 448 vCPUs , Intel Xeon Scalable (Skylake) processors , 25 Gigabit , unavailable , unavailable
u-18tb1.metal , 18432.0 GiB , 448 vCPUs , Intel Xeon Platinum 8280L (Cascade Lake) , 100 Gigabit , unavailable , unavailable
u-24tb1.metal , 24576.0 GiB , 448 vCPUs , Intel Xeon Platinum 8280L (Cascade Lake) , 100 Gigabit , unavailable , unavailable
u-6tb1.metal , 6144.0 GiB , 448 vCPUs , Intel Xeon Scalable (Skylake) processors , 25 Gigabit , unavailable , unavailable
u-9tb1.metal , 9216.0 GiB , 448 vCPUs , Intel Xeon Scalable (Skylake) processors , 25 Gigabit , unavailable , unavailable
x1.16xlarge , 976.0 GiB , 64 vCPUs , High Frequency Intel Xeon E7-8880 v3 (Haswell) , High , $4868.37 monthly , $.30 monthly
x1.32xlarge , 1952.0 GiB , 128 vCPUs , High Frequency Intel Xeon E7-8880 v3 (Haswell) , High , $9736.74 monthly , $5999.87 monthly
x1e.16xlarge , 1952.0 GiB , 64 vCPUs , High Frequency Intel Xeon E7-8880 v3 (Haswell) , 10 Gigabit , $9741.12 monthly , $6002.79 monthly
x1e.2xlarge , 244.0 GiB , 8 vCPUs , High Frequency Intel Xeon E7-8880 v3 (Haswell) , Up to 10 Gigabit , $1217.64 monthly , $750.44 monthly
x1e.32xlarge , 3904.0 GiB , 128 vCPUs , High Frequency Intel Xeon E7-8880 v3 (Haswell) , 25 Gigabit , $19482.24 monthly , unavailable
x1e.4xlarge , 488.0 GiB , 16 vCPUs , High Frequency Intel Xeon E7-8880 v3 (Haswell) , Up to 10 Gigabit , $2435.28 monthly , $1500.88 monthly
x1e.8xlarge , 976.0 GiB , 32 vCPUs , High Frequency Intel Xeon E7-8880 v3 (Haswell) , Up to 10 Gigabit , $4870.56 monthly , $3001.76 monthly
x1e.xlarge , 122.0 GiB , 4 vCPUs , High Frequency Intel Xeon E7-8880 v3 (Haswell) , Up to 10 Gigabit , $608.82 monthly , $375.22 monthly
z1d.12xlarge , 384.0 GiB , 48 vCPUs , Intel Xeon Platinum 8151 , 25 Gigabit , $3258.72 monthly , $2060.06 monthly
z1d.2xlarge , 64.0 GiB , 8 vCPUs , Intel Xeon Platinum 8151 , Up to 10 Gigabit , $543.12 monthly , $343.10 monthly
z1d.3xlarge , 96.0 GiB , 12 vCPUs , Intel Xeon Platinum 8151 , Up to 10 Gigabit , $814.68 monthly , $514.65 monthly
z1d.6xlarge , 192.0 GiB , 24 vCPUs , Intel Xeon Platinum 8151 , 10 Gigabit , $1629.36 monthly , $1030.03 monthly
z1d.large , 16.0 GiB , 2 vCPUs , Intel Xeon Platinum 8151 , Up to 10 Gigabit , $135.78 monthly , $86.14 monthly
z1d.metal , 384.0 GiB , 48 vCPUs , Intel Xeon Platinum 8151 , 25 Gigabit , $3258.72 monthly , $2060.06 monthly
z1d.xlarge , 32.0 GiB , 4 vCPUs , Intel Xeon Platinum 8151 , Up to 10 Gigabit , $271.56 monthly , $171.55 monthly
